434,1239
1982,1590
211,1054
784,236
1208,280
1732,523
693,1833
1765,1975
1544,1468
654,310
389,698
922,1916
166,769
1463,1385
1010,1660
1276,115
254,1400
117,724
1145,1404
624,3
20,538
1800,929
1071,1444
1244,206
463,824
1788,778
33,1558
507,307
1031,1541
414,1967
1899,475
424,198
1300,1398
744,1575
1264,1688
116,250
190,1588
1646,272
1857,360
503,1618
926,219
1445,1466
1282,907
979,1263
1762,998
944,1030
1724,1801
473,317
441,910
15,538
203,173
868,363
596,462
1389,499
1552,368
113,1117
606,1847
58,170
1400,1351
1184,423
1665,842
1396,889
961,1416
1073,1999
999,1200
685,46
1104,785
363,236
1667,852
692,255
338,707
1483,168
1077,925
1611,29
1172,202
1270,408
1262,157
1268,941
1833,1986
1437,1537
538,1588
62,1760
1681,933
1554,177
1625,1320
1990,1125
333,1743
235,1830
1222,1402
1467,1027
559,1618
813,838
1795,707
6,1179
1204,1886
398,1626
685,1070
123,1528
890,335
566,40
530,1394
1002,968
1034,620
1184,1495
182,135
892,55
1746,220
1939,661
218,780
1114,1540
1523,290
506,122
1745,1357
211,1079
1561,700
1210,399
520,106
31,1877
99,594
1280,752
985,751
414,354
499,324
1640,1701
1321,1561
1706,565
925,754
280,1175
1478,1876
1153,780
105,1519
318,1220
454,1406
1692,1144
331,1282
1091,1994
1438,84
571,679
1545,1980
564,106
526,1336
1614,977
972,1931
919,1180
1537,1735
1305,1422
827,1526
665,1817
80,909
675,664
938,1772
755,1937
1871,1261
1194,385
777,1948
1217,190
173,497
1969,730
1600,777
308,776
886,1075
1093,725
88,650
565,1031
1019,1368
1609,1316
1375,1623
75,1147
645,1630
708,686
591,1013
1380,1066
1852,1283
1113,826
104,764
1891,1227
4,1355
25,1140
128,1359
1815,1096
1881,1026
1404,934
143,927
516,1187
1671,1641
497,965
1188,10
1265,1180
1574,272
1313,1883
1760,390
677,1646
1176,1425
1980,1065
1492,1139
743,101
162,1448
1790,1717
1585,1450
1715,556
1352,85
1834,1479
306,1690
8,931
592,1224
1937,1760
1794,51
1621,1251
1499,282
1384,336
741,1049
1268,1444
1662,1232
686,326
1845,658
1989,712
439,1807
489,659
1468,458
401,843
367,342
420,1768
1125,1987
917,1997
109,1229
294,1341
977,1807
1202,1067
931,1697
317,324
1627,111
357,1961
1287,1532
360,1646
1454,995
1794,1663
82,1714
212,271
1098,402
119,712
435,1831
1187,1784
71,431
933,1481
471,1619
1411,710
1699,1016
900,679
1855,1589
1684,283
1679,1148
488,1680
642,1072
1881,969
1133,1230
1736,216
1329,421
185,167
180,288
775,328
563,401
440,1513
1389,956
1337,549
610,757
302,1425
1672,511
1120,1094
1729,1315
1531,955
770,1440
343,1980
1244,467
1233,1933
1279,1050
655,1573
1669,1052
308,796
923,314
1515,1855
1851,1053
1197,1093
758,1124
1681,437
877,962
1887,379
1072,167
137,1191
115,514
540,93
210,573
1465,71
759,1518
1005,518
1245,663
519,1048
1390,1874
872,1583
693,351
1303,1918
141,313
702,1677
460,1902
1545,530
986,977
1344,855
1001,449
1999,1888
151,157
338,851
668,451
782,1345
858,557
600,1754
681,1246
1029,988
1399,759
458,1263
1056,1804
191,1019
1332,1188
1194,1261
333,1767
1524,438
878,925
445,1558
1962,1379
1440,1712
1078,145
1576,946
1852,140
1926,1367
1226,1437
1442,1297
569,810
1705,1193
404,442
1085,1536
874,1936
1863,1433
1394,827
1684,126
1060,1835
884,1960
1523,393
320,189
173,1817
1066,316
57,1796
862,1478
866,1708
660,958
1592,1869
1774,985
1130,603
692,582
567,1278
381,182
477,1069
86,64
1615,179
1587,731
1854,1416
1343,429
100,1336
803,895
1091,481
1798,1987
1810,1557
1983,1291
699,32
610,1243
1202,1887
879,1397
1569,489
107,776
1114,1131
598,663
336,1135
128,120
398,1913
1638,1158
713,1360
1489,1753
78,781
78,1958
305,1284
1935,915
1844,180
1892,1552
151,1986
728,1701
1517,125
116,564
1779,1245
285,1288
1431,1149
340,1013
787,384
1431,1400
1540,1892
430,1818
1683,1609
369,1762
505,482
616,672
633,147
448,812
890,446
584,122
494,1433
243,1750
1974,303
388,1835
1594,416
1429,783
1519,1367
1869,1431
858,5
1748,870
203,303
202,1330
306,1186
116,732
1645,118
898,1907
110,917
514,573
1288,195
228,151
330,1923
1040,1787
1643,482
1043,1217
935,748
1888,1460
637,1805
1422,870
1335,1173
1003,325
601,626
225,19
787,989
1634,901
1047,157
1986,506
875,1781
704,982
940,1987
1198,1598
365,792
982,792
688,1957
1232,1665
1727,1229
1588,1003
940,1168
696,1389
1369,210
1650,1487
930,1557
799,855
807,356
80,1675
415,1698
497,1627
577,1310
1863,1625
691,275
1948,1193
417,1381
603,218
392,249
1247,1684
316,923
1613,302
602,1213
1669,418
971,566
163,1614
309,229
41,498
883,628
256,622
212,1640
640,896
785,235
617,1887
1080,1223
766,103
410,1631
1736,728
920,1717
459,690
1346,1738
346,1188
1758,273
563,88
418,1841
1031,932
